as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,JP:7988:TYO,JP:7988,7988:TYO,7988,Nifco Inc,TSE,jp,topix500,Automobiles and Parts,ft_icb_native,2026-01-31,Consumer Discretionary,Automobiles and Parts,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=7988:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8001:TYO,JP:8001,8001:TYO,8001,Itochu Corp,TSE,jp,topix500,General Industrials,ft_icb_native,2026-01-31,Industrials,General Industrials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8001:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8002:TYO,JP:8002,8002:TYO,8002,Marubeni Corp,TSE,jp,topix500,Industrial Support Services,ft_icb_native,2026-01-31,Industrials,Industrial Support Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8002:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8012:TYO,JP:8012,8012:TYO,8012,Nagase & Co Ltd,TSE,jp,topix500,Chemicals,ft_icb_native,2026-01-31,Basic Materials,Chemicals,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8012:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8015:TYO,JP:8015,8015:TYO,8015,Toyota Tsusho Corp,TSE,jp,topix500,General Industrials,ft_icb_native,2026-01-31,Industrials,General Industrials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8015:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8020:TYO,JP:8020,8020:TYO,8020,Kanematsu Corp,TSE,jp,topix500,General Industrials,ft_icb_native,2026-01-31,Industrials,General Industrials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8020:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8031:TYO,JP:8031,8031:TYO,8031,Mitsui & Co Ltd,TSE,jp,topix500,Industrial Support Services,ft_icb_native,2026-01-31,Industrials,Industrial Support Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8031:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8035:TYO,JP:8035,8035:TYO,8035,Tokyo Electron Ltd,TSE,jp,topix500,Technology Hardware and Equipment,ft_icb_native,2026-01-31,Technology,Technology Hardware and Equipment,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8035:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8053:TYO,JP:8053,8053:TYO,8053,Sumitomo Corp,TSE,jp,topix500,Industrial Support Services,ft_icb_native,2026-01-31,Industrials,Industrial Support Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8053:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8056:TYO,JP:8056,8056:TYO,8056,Biprogy Inc,TSE,jp,topix500,Technology,ft_icb_native,2026-01-31,Technology,Technology,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8056:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8058:TYO,JP:8058,8058:TYO,8058,Mitsubishi Corp,TSE,jp,topix500,General Industrials,ft_icb_native,2026-01-31,Industrials,General Industrials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8058:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
