as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,US:ABNB:NSQ,US:ABNB,ABNB:NSQ,ABNB,Airbnb Inc,NASDAQ,us,russell3000,Travel and Leisure,ft_icb_native,2026-01-31,Consumer Discretionary,Travel and Leisure,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABNB:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ABR:NYQ,US:ABR,ABR:NYQ,ABR,Arbor Realty Trust Inc,NYQ,us,russell3000,Mortgage Real Estate Investment Trusts,ft_icb_native,2026-01-31,Financials,Mortgage Real Estate Investment Trusts,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABR:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ABSI:NSQ,US:ABSI,ABSI:NSQ,ABSI,Absci Corp,NASDAQ,us,russell3000,Pharmaceuticals and Biotechnology,ft_icb_native,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABSI:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ABT:NYQ,US:ABT,ABT:NYQ,ABT,Abbott Laboratories,NYQ,us,russell3000,Medical Equipment and Services,ft_icb_native,2026-01-31,Health Care,Medical Equipment and Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABT:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ABUS:NSQ,US:ABUS,ABUS:NSQ,ABUS,Arbutus Biopharma Corp,NASDAQ,us,russell3000,Pharmaceuticals and Biotechnology,ft_icb_native,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABUS:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ACA:NYS,US:ACA,ACA:NYS,ACA,Arcosa Inc,NYSE,us,russell3000,Construction and Materials,ft_icb_native,2026-01-31,Industrials,Construction and Materials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ACA:NYS,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ACAD:NSQ,US:ACAD,ACAD:NSQ,ACAD,ACADIA Pharmaceuticals Inc,NASDAQ,us,russell3000,Pharmaceuticals and Biotechnology,ft_icb_native,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ACAD:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ACCO:NYQ,US:ACCO,ACCO:NYQ,ACCO,ACCO Brands Corp,NYQ,us,russell3000,"Personal Care, Drug and Grocery Stores",ft_icb_native,2026-01-31,Industrials,"Personal Care, Drug and Grocery Stores",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ACCO:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ACDC:NSQ,US:ACDC,ACDC:NSQ,ACDC,ProFrac Holding Corp,NASDAQ,us,russell3000,"Oil, Gas and Coal",ft_icb_native,2026-01-31,Energy,"Oil, Gas and Coal",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ACDC:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ACEL:NYQ,US:ACEL,ACEL:NYQ,ACEL,Accel Entertainment Inc,NYQ,us,russell3000,Travel and Leisure,ft_icb_native,2026-01-31,Consumer Discretionary,Travel and Leisure,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ACEL:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
